epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2854.99,1.05263,0.75856,1.41925,0.03393,0.82901,0.84951,0.86242,0.63174,0.77682,0.65308,1.46729,0.02331,0.0005744,0.0005744,0.0005744
38,2916.4,1.02843,0.74619,1.37033,0.0355,0.83412,0.83333,0.86588,0.62305,0.77066,0.65339,1.45863,0.02285,0.0005348,0.0005348,0.0005348
39,2981.4,1.0376,0.74107,1.41672,0.02868,0.84361,0.82906,0.87043,0.62846,0.76763,0.65383,1.45343,0.0226,0.0004952,0.0004952,0.0004952
40,3043.64,0.98082,0.73258,1.45472,0.03602,0.85321,0.81973,0.87302,0.63223,0.76307,0.65078,1.44493,0.02248,0.0004556,0.0004556,0.0004556
41,3104.57,0.93839,0.76736,1.42352,0.02796,0.85594,0.82906,0.87997,0.63517,0.7562,0.64448,1.43593,0.02258,0.000416,0.000416,0.000416
42,3163.62,0.9807,0.76941,1.47124,0.03069,0.84766,0.83229,0.87251,0.64124,0.75566,0.63555,1.42187,0.02522,0.0003764,0.0003764,0.0003764
43,3223.5,0.9428,0.6947,1.4545,0.02525,0.84903,0.81714,0.87537,0.63456,0.76953,0.63514,1.42389,0.02598,0.0003368,0.0003368,0.0003368
44,3281.3,0.952,0.72916,1.41931,0.02785,0.85556,0.81005,0.86169,0.63201,0.77246,0.63376,1.42285,0.02607,0.0002972,0.0002972,0.0002972
45,3338.59,0.90136,0.73765,1.54056,0.0275,0.8523,0.81379,0.86867,0.64469,0.76255,0.63164,1.42501,0.02481,0.0002576,0.0002576,0.0002576
46,3396.56,0.90309,0.69571,1.48509,0.024,0.86239,0.83022,0.88427,0.64692,0.75598,0.63626,1.43535,0.02282,0.000218,0.000218,0.000218
47,3454.66,0.92435,0.68763,1.44221,0.02499,0.85639,0.84101,0.88505,0.6392,0.75448,0.63968,1.44043,0.02189,0.0001784,0.0001784,0.0001784
48,3513.46,0.92532,0.68966,1.47163,0.0344,0.8523,0.83846,0.88362,0.64024,0.75261,0.63965,1.44374,0.02125,0.0001388,0.0001388,0.0001388
49,3574.5,0.88542,0.67508,1.3995,0.02312,0.83651,0.84615,0.88358,0.63927,0.75345,0.64008,1.44549,0.02135,9.92e-05,9.92e-05,9.92e-05
50,3632.98,0.90736,0.66988,1.472,0.02185,0.83845,0.84282,0.87999,0.63954,0.75111,0.6384,1.44456,0.02123,5.96e-05,5.96e-05,5.96e-05
